chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type	ID	Length	DivBy3Rem	StopCodons	StopCodonPos	CodonUsage	TGT-C	CGT-R	AAT-N	TGC-C	GGG-G	CGC-R	AAC-N	ACA-T	GGT-G	AAG-K	ATA-I	CGG-R	TGG-W	GGC-G	GGA-G	ATC-I	ACT-T	ATT-I	ACC-T	ATG-M	AAA-K	CGA-R	TGA-stop	ACG-T	CTG-L	AGA-R	CAA-Q	GTC-V	TTG-L	TAA-stop	GCT-A	CCG-P	GTT-V	GCC-A	TCG-S	TCT-S	GAA-E	GTG-V	TTC-F	CTC-L	CCT-P	GCG-A	TCC-S	TTT-F	CTT-L	CCC-P	CCA-P	TCA-S	GAT-D	AGG-R	CAG-Q	CTA-L	GAC-D	TTA-L	TAG-stop	TAT-Y	GCA-A	CAT-H	AGT-S	GTA-V	GAG-E	TAC-Y	AGC-S	CAC-H	
21	NC_000021.9	DNMT3L	29947	CCDS13705.1	Public	-	44246396	44261258	[44246396-44246564, 44249025-44249110, 44250809-44250948, 44251622-44251697, 44254616-44254704, 44256066-44256153, 44258522-44258693, 44259436-44259548, 44259631-44259710, 44260794-44260838, 44261153-44261258]	Identical	CCDS13705.1_CHR21	1164	0	0	1161-	391	3	2	4	14	6	3	7	6	1	17	2	4	9	7	8	9	1	2	6	6	1	4		2	24	3	2	8	5	1	3	2	4	11	4	3	11	16	13	9	5	2	11	5	4	12	8	3	9	6	11	1	14	1		3	3	1	4		14	9	12	7	
17	NC_000017.11	GAST	2520	CCDS11404.1	Public	+	41715436	41715871	[41715436-41715646, 41715777-41715871]	Identical	CCDS11404.1_CHR17	306	0	0	303-	105	1				1	3	2	1	2	3			4	2	3	1				2		2			8					1	3	1		5		3	5	3	2	1			2	1		5	4		2	2	8	1	3	1		2	3	2	1		5			1	
3	NC_000003.12	AADACL2	344752	CCDS3161.2	Public	+	151734035	151757593	[151734035-151734172, 151740645-151740867, 151744092-151744161, 151745508-151745679, 151756991-151757593]	Identical	CCDS3161.2_CHR3	1206	0	0	1203-	405	6	2	9	1	3		4	10	5	6	9		5	4	10	4	6	10	6	13	12	6		3	7	11	7	5	11	1	11		10	4		5	13	6	4	3	5	2	2	17	18	4	9	6	18	6	7	3	7	10		15	6	9	5	5	5	4	3	4	
11	NC_000011.10	FOLH1	2346	CCDS53628.1	Public	-	49146755	49206849	[49146755-49146944, 49148638-49148730, 49153845-49153926, 49154227-49154491, 49156716-49156806, 49157951-49158042, 49164704-49164771, 49169194-49169257, 49171194-49171276, 49173356-49173475, 49174891-49174976, 49175858-49175956, 49183148-49183241, 49185668-49185854, 49186643-49186768, 49192792-49192893, 49200254-49200440, 49206066-49206171, 49206777-49206849]	Identical	CCDS53628.1_CHR11	2208	0	0	2205-	739	3	3	25	2	10		12	15	13	18	8	3	11	10	26	7	14	24	1	15	27	4			15	17	8	7	10	1	17	1	14	10	1	12	30	17	13	10	17	1	10	29	9	3	25	10	21	6	12	6	14	7		29	25	8	12	8	18	12	13	7	
3	NC_000003.12	IHO1	339834	CCDS33755.2	Public	+	49211780	49257281	[49211780-49211835, 49236547-49236721, 49241225-49241388, 49244403-49244451, 49244645-49244732, 49255389-49255492, 49256133-49257281]	Identical	CCDS33755.2_CHR3	1785	0	0	1782-	598	7	2	20	5	6		11	7	8	25	5	1	8	8	14	5	6	9	6	10	23		1	2	14	10	14	8	14		7		8	14	1	11	18	10	9	17	16		12	14	3	10	9	14	13	11	41	7	16	4		5	11	8	14	3	19	3	13	5	
9	NC_000009.12	DOLPP1	57171	CCDS6918.1	Public	+	129081131	129089006	[129081131-129081206, 129084667-129084767, 129085022-129085106, 129085206-129085305, 129085517-129085615, 129086138-129086266, 129086708-129086797, 129088970-129089006]	Identical	CCDS6918.1_CHR9	717	0	0	714-	242	1			1	4	1	7	3	2	3	2	4	8	6	5	9		1	8	5	2	1	1	3	14	2	2	10	1		3	2		7	1	1	2	6	13	14	3	1	8	4	3	6	1	1	1	5	6	2	3	1		4	6	1		3	6	6	6	7	
2	NC_000002.12	ARHGAP25	9938	CCDS33214.2	Public	+	68735199	68826193	[68735199-68735259, 68775220-68775419, 68782232-68782319, 68787839-68787955, 68807272-68807479, 68813286-68813418, 68816288-68816361, 68817872-68817993, 68819122-68819318, 68822339-68822871, 68825986-68826193]	Identical	CCDS33214.2_CHR2	1941	0	0	1938-	650	7	3	8	2	11	5	18	10	2	33	4	6	10	9	8	16	11	5	5	22	18	4		3	18	7	9	8	7	1	16	3	6	15	3	12	30	20	12	17	10	5	17	10	4	16	10	5	14	16	28	5	22	1		6	6	4	6	2	31	8	14	3	
16	NC_000016.10	CETP	1071	CCDS10772.1	Public	+	56961979	56983665	[56961979-56962096, 56963009-56963123, 56969385-56969519, 56969610-56969680, 56969913-56970000, 56971032-56971101, 56971320-56971380, 56971991-56972082, 56973330-56973509, 56975100-56975150, 56978090-56978254, 56981157-56981224, 56981646-56981679, 56982164-56982236, 56983325-56983410, 56983591-56983665]	Identical	CCDS10772.1_CHR16	1482	0	0	1479-	497	1		4	6	6	4	12	10	4	21		2	5	14	4	26	6	9	15	13	5	4		1	31	1	6	18	6		5		2	21	3	10	3	18	25	17	6		15	5	2	6	4	4	12	1	21		13	1	1	3	2	6		3	21	7	15	8	
5	NC_000005.10	SLC45A2	51151	CCDS75232.1	Public	-	33951651	33984582	[33951651-33951676, 33954360-33954503, 33982235-33982411, 33984198-33984582]	Identical	CCDS75232.1_CHR5	732	0	0	729-	247	1		2	3	4	2	2	1	4	3	2	3	4	6	5	5	3	4	4	9	4				9	5	1	8	2		9	3	4	7	2	1	1	6	6	9	4	2	5	5	2	7	4	1	6	3	5	4	7	1	1	2	2	7	2	3	5	6	11	5	
12	NC_000012.12	CCNT1	904	CCDS8766.1	Public	-	48693032	48716674	[48693032-48694435, 48695758-48695828, 48695998-48696161, 48698137-48698182, 48699777-48699839, 48701012-48701072, 48705767-48705895, 48714442-48714523, 48716514-48716674]	Identical	CCDS8766.1_CHR12	2181	0	0	2178-	730	3	8	19	4	7	4	13	18	11	23	6	5	8	5	8	6	26	12	8	16	29	5		1	16	3	10	9	11	1	15	1	8	12	2	20	22	14	8	6	20	3	21	12	14	11	20	18	15	5	28	6	14	9		10	18	26	14	5	22	5	15	13	
19	NC_000019.10	CARM1	10498	CCDS92516.1	Public	+	10871702	10921756	[10871702-10871921, 10904950-10905075, 10908038-10908144, 10909102-10909206, 10912183-10912293, 10913876-10914053, 10916406-10916496, 10916695-10916776, 10919594-10919679, 10919876-10919965, 10920435-10920572, 10920658-10920747, 10920833-10920945, 10921049-10921126, 10921614-10921756]	Identical	CCDS92516.1_CHR19	1758	0	0	1755-	589	4	1		6	11	6	22	9	4	14	2	9	5	32	4	23		5	18	19	6	2		9	23	2	2	9	3		5	7	4	26	8	7	6	27	23	13	3	16	14	8	3	15	4	6	7	1	25		16	2	1	4	6	3	7		20	19	16	14	
14	NC_000014.9	HHIPL1	84439	CCDS9953.1	Public	+	99645207	99668927	[99645207-99645461, 99652223-99652869, 99656999-99657142, 99659427-99659755, 99660279-99660405, 99662875-99663020, 99668221-99668302, 99668831-99668927]	Identical	CCDS9953.1_CHR14	1827	0	0	1824-	612	2	5	2	21	22	24	23	5	2	10	2	5	13	32	4	12	3	5	5	10	3		1	6	39	2	2	9	2		2	12	2	33	8	3	3	23	28	14	3	12	8	3	3	15	6	5	9	8	17		29	1		4	2	3	3	1	31	26	11	10	
12	NC_000012.12	CS	1431	CCDS8913.1	Public	-	56273083	56300200	[56273083-56273253, 56273586-56273795, 56274776-56274877, 56275001-56275130, 56275995-56276194, 56282419-56282607, 56282859-56282990, 56283791-56283856, 56285915-56286022, 56286594-56286644, 56300159-56300200]	Identical	CCDS8913.1_CHR12	1401	0	0	1398-	470	3	1	12	1	7	1	8	6	8	20	2	3	9	16	5	10	7	5	8	15	6	9		5	20	3	2	5	8	1	9	1	8	13		7	11	11	5	12	11	1	6	9	6	8	2	6	8	4	15	7	12	6		9	17	10	9	6	13	9	5	5	
22	NC_000022.11	CCDC157	550631	CCDS33632.2	Public	+	30366000	30376744	[30366000-30366247, 30369431-30369602, 30370325-30370949, 30371649-30371726, 30372074-30372285, 30373596-30373763, 30373922-30374090, 30375478-30375662, 30376258-30376346, 30376432-30376744]	Identical	CCDS33632.2_CHR22	2259	0	0	2256-	756	5	2		13	10	11	8	14	7	27	1	22	6	20	5	12	3	1	19	14	6	2		9	64	6	8	14	7		6	3	1	27	1	5	9	23	9	14	12	9	23		3	22	14	3	4	18	80	6	25	2	1	2	10	4	3	1	58	1	27	11	
2	NC_000002.12	IMMT	10989	CCDS46355.1	Public	-	86144267	86195381	[86144267-86144880, 86146067-86146196, 86147701-86147832, 86151296-86151519, 86153559-86153573, 86158591-86158720, 86159535-86159670, 86161975-86162078, 86166507-86166643, 86170748-86170843, 86171207-86171344, 86173649-86173760, 86179432-86179621, 86181298-86181371, 86195337-86195381]	Identical	CCDS46355.1_CHR2	2277	0	0	2274-	762	4	7	11	3	6	5	8	7	12	25	11	4	5	5	8	8	16	15	13	12	32	8	1	2	23	13	20	12	10		28	2	15	29	4	20	46	10	6	14	15	2	9	9	11	2	13	11	21	4	31	7	10	11		8	36	8	11	9	30	7	6	8	
6	NC_000006.12	CDYL	9425	CCDS4491.2	Public	+	4776783	4954055	[4776783-4776806, 4891712-4892378, 4935514-4935770, 4937564-4937736, 4943545-4943755, 4952265-4952408, 4953897-4954055]	Identical	CCDS4491.2_CHR6	1635	0	0	1632-	548	6	2	9	3	7	3	16	16	5	27	5	3	6	12	8	8	6	10	10	15	17	2	1	3	12	10	4	7	7		11	3	11	16	2	9	13	19	11	7	7	4	10	11	4	11	6	3	8	16	19	4	18	5		4	11		4	3	26	5	18	6	
12	NC_000012.12	TPH2	121278	CCDS31859.1	Public	+	71938986	72031694	[71938986-71939090, 71941583-71941732, 71944293-71944476, 71944585-71944685, 71949587-71949654, 71972518-71972714, 71978951-71979086, 71994438-71994564, 72022398-72022493, 72031257-72031390, 72031520-72031694]	Identical	CCDS31859.1_CHR12	1473	0	0	1470-	494	6	3	10	7	4	1	7	9	6	13	1	6	4	8	10	5	7	11	8	10	22	4	1	3	15	8	6	3	6		7	1	10	7		9	29	15	12	9	6	2	8	16	8	8	8	8	10	6	13	5	15	4		11	11	6	6	3	15	10	5	4	
5	NC_000005.10	PCDHGA11	56105	CCDS47294.1	Public	+	141421227	141511172	[141421227-141423659, 141494806-141494864, 141505392-141505480, 141510946-141511172]	Identical	CCDS47294.1_CHR5	2808	0	0	2805-	939	5	4	25	2	17	11	24	12	9	23	10	12	6	30	15	19	10	15	18	12	9	6		14	49	7	14	18	14	1	18	7	8	24	6	17	26	41	16	25	13	14	23	14	5	21	11	9	24	6	29	4	36	5		13	13	3	6	7	30	14	27	10	
10	NC_000010.11	NDUFB8	4714	CCDS65917.1	Public	-	100524088	100529850	[100524088-100524138, 100526398-100526553, 100526974-100527073, 100529379-100529505, 100529766-100529850]	Identical	CCDS65917.1_CHR10	519	0	0	516-	176	2	2	2	1	4	1	4	3	2	4	1	3	7	6	1				2	12			1		4	1	1	4	3		1	6	1	8		3	5	7	6	3	6	1	3	1		2	2	1	4	6	5	1	7	1		4	2	2			1	7	1	5	
6	NC_000006.12	SCAND3	114821	CCDS34355.1	Public	-	28571910	28586716	[28571910-28573826, 28574643-28576135, 28579271-28579418, 28586297-28586716]	Identical	CCDS34355.1_CHR6	3978	0	0	3975-	1329	22	6	47	11	12	4	17	30	11	40	24	9	15	6	17	15	22	36	12	30	67	6		1	26	24	32	9	33	1	35	1	23	9		32	88	14	17	11	18	4	8	37	28	7	23	40	43	13	34	12	17	33		25	21	30	31	22	35	7	16	7	
7	NC_000007.14	SPACDR	402573	CCDS47661.1	Public	-	100456751	100464024	[100456751-100456984, 100463362-100463685, 100463962-100464024]	Identical	CCDS47661.1_CHR7	621	0	0	618-	210				3		2	1	1	1	11		4	8	3	1	1	4	3	2	5	6	3		3	12	2	6	7	7		5	3	5	7		3		8	4	4	2		7			6	2	6	2	7	8	1	1		1		1	1	2		14	2	3	6	
5	NC_000005.10	DNAJC21	134218	CCDS87294.1	Public	+	34929819	34954713	[34929819-34929915, 34933814-34933907, 34935709-34935832, 34936143-34936265, 34937325-34937629, 34938857-34939008, 34941095-34941182, 34944866-34945024, 34945721-34945802, 34950169-34950341, 34953925-34954000, 34954552-34954713]	Identical	CCDS87294.1_CHR5	1635	0	0	1632-	548	5	4	20	3	2	3	5	8	4	27	1	7	6	1	9	3	4	5	4	13	40	4		2	7	9	10	6	6		8	1	6	15	3	6	41	8	7	4	8	3	1	13	8	2	10	5	30	4	18	6	14	6	1	15	15	8	13	5	29	5	6	3	
16	NC_000016.10	CREBBP	1387	CCDS45399.1	Public	-	3727717	3879915	[3727717-3729873, 3731191-3731472, 3731775-3731936, 3736035-3736202, 3736649-3736814, 3738558-3738671, 3739577-3739723, 3740398-3740548, 3744893-3744960, 3745276-3745353, 3749626-3749682, 3751725-3751805, 3757287-3757375, 3757808-3758047, 3758853-3758971, 3767719-3767908, 3769173-3769352, 3770569-3770985, 3773750-3773929, 3774568-3774692, 3777612-3777656, 3778010-3778181, 3778699-3778816, 3780731-3780877, 3781203-3781305, 3782683-3782925, 3793385-3793625, 3810602-3810778, 3850296-3851008, 3879831-3879915]	Identical	CCDS45399.1_CHR16	7215	0	0	7212-	2408	10	5	34	36	52	28	82	33	15	68	13	25	13	57	49	34	27	26	51	95	45	14		20	71	8	52	26	19		46	30	15	74	15	29	50	69	24	39	76	17	42	25	15	103	65	34	33	15	213	11	43	16	1	22	37	21	27	7	55	21	67	40	
2	NC_000002.12	MPHOSPH10	10199	CCDS1916.1	Public	+	71130665	71150014	[71130665-71130753, 71132897-71133575, 71133947-71134104, 71134625-71134796, 71138489-71138630, 71139794-71139861, 71141231-71141368, 71144427-71144537, 71147998-71148105, 71149222-71149452, 71149865-71150014]	Identical	CCDS1916.1_CHR2	2046	0	0	2043-	685	1	5	19	1	3		7	12	8	28	11	5	4	2	7	8	3	15	8	11	61	4		4	14	8	17	3	8	1	14	3	9	7	2	10	64	9	9	8	5	2	8	14	10	3	11	7	53	5	18	3	13	16		6	12	7	12	10	38	4	10	2	
4	NC_000004.12	FAM193A	8603	CCDS58876.1	Public	+	2631004	2720033	[2631004-2631168, 2639734-2639858, 2646684-2646831, 2657802-2657879, 2659557-2659669, 2659811-2660053, 2662837-2662990, 2663108-2663287, 2672120-2672371, 2689505-2689703, 2690697-2690969, 2693585-2693873, 2694945-2695128, 2696362-2696592, 2699679-2700543, 2716022-2716103, 2719979-2720033]	Identical	CCDS58876.1_CHR4	3636	0	0	3633-	1215	9	3	31	18	18	9	22	31	5	53	4	9	7	21	11	18	13	9	23	22	30	2	1	7	26	17	10	15	14		21	9	9	27	10	19	41	22	20	20	30	8	23	15	17	30	39	20	31	25	46	8	38	7		8	30	15	26	3	65	10	31	31	
2	NC_000002.12	BABAM2	9577	CCDS1763.1	Public	+	27894556	28338512	[27894556-27894683, 27929831-27929907, 27987992-27988086, 28025225-28025419, 28045724-28045798, 28129270-28129379, 28237201-28237300, 28241322-28241392, 28244779-28244861, 28298337-28298490, 28338449-28338512]	Identical	CCDS1763.1_CHR2	1152	0	0	1149-	387	6	1	10	2	3	2	8	8	2	8	4	2	5	4	13	4	6	7	4	6	11	4			13	4	8	3	6		11	1	3	8		4	15	11	9	13	11		7	17	9	7	9	6	11	1	11		7	4	1	10	5	2	3	4	9	9	5	7	
19	NC_000019.10	KCNN1	3780	CCDS67611.1	Public	+	17973888	17998405	[17973888-17974289, 17975091-17975186, 17981708-17982126, 17985311-17985452, 17988414-17988524, 17989715-17989842, 17993053-17993061, 17993489-17993558, 17998151-17998405]	Identical	CCDS67611.1_CHR19	1632	0	0	1629-	547	1	1	2	9	11	12	10	1	3	19	1	16	8	21	2	20	2	4	18	15	6	1	1	10	31	1	6	7	1		10	7	3	30	6	2	3	27	16	23	5	5	8	1	2	21	4	3	6	5	16	4	20			1	4	3	2	3	22	12	15	15	
4	NC_000004.12	HNRNPDL	9987	CCDS3593.1	Public	-	82426058	82429689	[82426058-82426128, 82426462-82426632, 82427189-82427303, 82427432-82427563, 82428017-82428178, 82428277-82428445, 82429247-82429689]	Identical	CCDS3593.1_CHR4	1263	0	0	1260-	424	2	1	9	1	10	9	9	7	13	7	4	7	3	10	18	3	8	6	2	5	21	5		1	3	6	14	4	8	1	11	9	5	12	1	4	14	3	4	5	3	6	11	11	3	10	4	1	16	5	14	1	4	3		17	5	4	4	3	9	7	11	4	
7	NC_000007.14	THSD7A	221981	CCDS47543.1	Public	-	11375793	11831945	[11375793-11375877, 11376569-11376656, 11379069-11379279, 11379629-11379711, 11382520-11382615, 11401794-11401967, 11406299-11406473, 11406909-11407054, 11407305-11407422, 11411206-11411321, 11412655-11412799, 11417449-11417602, 11424695-11424828, 11426665-11426670, 11428946-11429124, 11446060-11446323, 11447229-11447423, 11460661-11460764, 11462010-11462142, 11469878-11469993, 11474333-11474567, 11481787-11481981, 11541418-11541630, 11542961-11543116, 11590459-11590640, 11593253-11593501, 11636129-11636960, 11831756-11831945]	Identical	CCDS47543.1_CHR7	4974	0	0	4971-	1661	66	6	27	67	27	13	37	28	18	42	8	11	49	35	45	26	20	27	30	26	56	17		11	40	29	44	13	12	1	19	10	19	28	4	26	54	52	10	17	39	12	27	13	12	35	33	21	38	25	62	9	37	13		27	18	15	21	16	62	15	26	12	
10	NC_000010.11	CREM	1390	CCDS7188.1	Public	+	35196062	35211397	[35196062-35196098, 35206894-35207050, 35211253-35211397]	Identical	CCDS7188.1_CHR10	339	0	0	336-	116	2	1	1	1		2	4	1	1	4		1		1	2	1	5	1		4	6	2			2	1	1	1	3	1	7			3	1	1	7	4		3	1				4	2	2		1	3	6	1	1			2	3	1	3	1	5	1		1	
12	NC_000012.12	CCDC77	84318	CCDS44781.1	Public	+	411804	441919	[411804-411977, 418493-418635, 428768-428864, 430663-430735, 431865-431953, 433173-433321, 438334-438553, 440616-440741, 440843-440995, 441773-441919]	Identical	CCDS44781.1_CHR12	1371	0	0	1368-	460	8	6	12	2	2	3	4	5	2	24	5	4	1	1	7	7	2	11	7	11	28	5			16	12	14	3	10	1	10		5	4	2	5	34	6	3	13	5		4	4	11	3	1	6	13	4	22	5	7	4		8	8	7	5	3	29	4	3	6	
6	NC_000006.12	ITPR3	3710	CCDS4783.1	Public	+	33621602	33695779	[33621602-33621690, 33640483-33640553, 33655765-33655886, 33657931-33658017, 33658669-33658827, 33659020-33659118, 33659465-33659548, 33662527-33662673, 33662910-33663005, 33663499-33663549, 33663737-33663879, 33664869-33664968, 33665052-33665212, 33665834-33665975, 33667128-33667289, 33667791-33667963, 33668514-33668633, 33668973-33669155, 33670324-33670575, 33670670-33670814, 33671164-33671305, 33672028-33672227, 33673590-33673719, 33674207-33674264, 33675690-33675855, 33676767-33676931, 33677014-33677088, 33677503-33677628, 33678420-33678542, 33678638-33678838, 33679881-33680132, 33680328-33680453, 33680554-33680679, 33682523-33682643, 33683206-33683396, 33684019-33684167, 33684356-33684464, 33684597-33684687, 33684773-33684942, 33685358-33685532, 33685642-33685826, 33686052-33686252, 33686408-33686518, 33687008-33687103, 33687225-33687326, 33687477-33687563, 33688056-33688166, 33688238-33688430, 33688655-33688780, 33689237-33689409, 33690033-33690197, 33690916-33691108, 33691614-33691718, 33691800-33691927, 33692727-33692892, 33693544-33693704, 33694923-33695084, 33695711-33695779]	Identical	CCDS4783.1_CHR6	8016	0	0	8013-	2675	14	12	35	37	40	58	99	21	15	149	4	49	22	72	7	120	24	24	65	84	17	5	1	23	207	1	8	52	18		21	10	3	99	14	14	18	125	82	82	12	15	55	32	8	54	12	13	25	12	119	3	121			12	17	17	21	5	181	64	62	61	
7	NC_000007.14	SMIM30	401397	CCDS87543.1	Public	-	113117398	113117577	[113117398-113117577]	Identical	CCDS87543.1_CHR7	180	0	0	177-	63	1		1	1	1			2	2					1	1	1		2	1	3	1	1	1		2	1		1	4				3	3			2	3		2	1		1		2			3	1		2			2		1	3			2			1		
X	NC_000023.11	VMA21	203547	CCDS35430.1	Public	+	151397308	151405057	[151397308-151397360, 151403630-151403739, 151404915-151405057]	Identical	CCDS35430.1_CHRX	306	0	0	303-	105		1	3		2	1	1	3		2	1		2	3		1	2	2		3	2	1		1	5	1		2		1	3	1	2	4		2	4	5	4	2	3	2	1	3	1			2	2	1	3		1	3		3	3	1			2	2	2		
9	NC_000009.12	IL33	90865	CCDS83341.1	Public	+	6241694	6256167	[6241694-6241784, 6250473-6250598, 6252865-6252990, 6253551-6253601, 6254461-6254552, 6255967-6256167]	Identical	CCDS83341.1_CHR9	687	0	0	684-	232	5		6	2		1	5	6	4	16	3		2	1	3	1	4	5	4	8	14				6	1	3	1	6		3		4	5		7	11	3	3	3	5		4	7	4	2	2	6	7	2	2	1	5	2	1	5	2	4	3	3	7	4	2	3	
1	NC_000001.11	ELOA	6924	CCDS239.3	Public	+	23743503	23759572	[23743503-23743577, 23749020-23749076, 23749841-23749947, 23750844-23752029, 23752406-23752517, 23754099-23754254, 23754362-23754459, 23755842-23756022, 23756273-23756384, 23756952-23757124, 23759511-23759572]	Identical	CCDS239.3_CHR1	2319	0	0	2316-	776	6	2	12	1	11	5	13	8	6	51	3	5	4	7	14	7	9	7	7	15	44	15		3	17	14	9	7	13	1	8	6	13	26	3	15	21	18	6	11	21	8	17	11	6	17	17	13	17	11	22	5	26	5		10	7	10	6	7	44	10	23	17	
16	NC_000016.10	CIAO2B	51647	CCDS45506.1	Public	-	66932202	66934363	[66932202-66932299, 66932779-66932824, 66933613-66933738, 66933986-66934065, 66934222-66934363]	Identical	CCDS45506.1_CHR16	492	0	0	489-	167		1	3	2	3	5	4	2	1	5		3		7		5	1	4	4	3			1	2	7		1	2	2		3	3	4	5		1		8	3	3	2		4		4	3	2	2	2		6	1	6				5	3	1	3	15	1	3	3	
19	NC_000019.10	ZNF100	163227	CCDS42538.1	Public	-	21726682	21767428	[21726682-21727988, 21744016-21744114, 21744940-21745066, 21765693-21765785, 21767426-21767428]	Identical	CCDS42538.1_CHR19	1629	0	0	1626-	546	29		6	4	4		17	9	3	13	10	4	7	10	16	1	25	12	7	8	55	2	1	1	7	11	11	2	4		9	1	1	6		7	23	6	7	3	4	1	9	19	12	9	5	14	7	6	9	4	8	5		5	6	27	5	1	21	15	2	7	
9	NC_000009.12	SLC35D2	11046	CCDS69625.1	Public	-	96321241	96383633	[96321241-96321340, 96321997-96322079, 96324090-96324168, 96351102-96351170, 96352037-96352108, 96360153-96360220, 96364463-96364549, 96368271-96368304, 96383476-96383633]	Identical	CCDS69625.1_CHR9	750	0	0	747-	253	1		3	3	8		6	3	3	7	6	3		6	6	8		10	8	6	6			3	13	1		2	4	1	3	2	4	9	2	1	3	6	9	8	6	4	5	6	5	2	2	4	3	1	4	3	1	8		4	4		3	3	3	7	6	2	
X	NC_000023.11	DRP2	1821	CCDS55465.1	Public	+	101235976	101260620	[101235976-101236022, 101237618-101237774, 101238980-101239100, 101241667-101241935, 101242324-101242470, 101242903-101242981, 101245016-101245076, 101245387-101245448, 101247089-101247163, 101248088-101248289, 101248513-101248598, 101250422-101250579, 101250916-101251082, 101252604-101252715, 101254424-101254560, 101254858-101254923, 101255183-101255248, 101256117-101256260, 101258308-101258545, 101260048-101260168, 101260496-101260620]	Identical	CCDS55465.1_CHRX	2640	0	0	2637-	883	6	8	14	11	10	14	14	13	4	30	2	12	13	13	7	16	12	17	13	17	15	5	1	4	42	3	14	13	13		18	4	6	31	1	13	22	24	17	19	5	3	19	13	11	18	11	14	22	8	49	8	20	5		6	12	12	17	4	58	10	21	23	
5	NC_000005.10	IL12B	3593	CCDS4346.1	Public	-	159316684	159326781	[159316684-159316815, 159318735-159318892, 159320305-159320519, 159322393-159322510, 159323053-159323328, 159326694-159326781]	Identical	CCDS4346.1_CHR5	987	0	0	984-	332	3	1	4	8	2	2	3	4	1	15	1	2	11	6	6	8	3	4	12	3	11			4	10	6	2	12	5		5	1	5	8	1	10	10	8	7	5	4		4	4	1	6	4	3	10	1	11	2	11	3	1	6	3	2	7	1	14	6	12	4	
3	NC_000003.12	C3orf62	375341	CCDS2792.1	Public	-	49271179	49276871	[49271179-49271444, 49274048-49274139, 49276426-49276871]	Identical	CCDS2792.1_CHR3	804	0	0	801-	271	2		7	6	1		7	6	1	7	2	1	4	2	4	1	4	6	1	9	9	1		1	9	10	3	2	6	1	10	2	3	9	2	6	16	2	2	6	8	1	4	6	2	3	3	2	8	3	5	2	7	2		1	6	8	1	2	12	3	6	2	
16	NC_000016.10	BCKDK	10295	CCDS10705.1	Public	+	31109223	31112264	[31109223-31109417, 31109510-31109578, 31109672-31109782, 31110076-31110123, 31110204-31110323, 31110400-31110498, 31110687-31110760, 31111090-31111218, 31111299-31111388, 31111868-31112026, 31112120-31112264]	Identical	CCDS10705.1_CHR16	1239	0	0	1236-	416	2	5	5	3	4	11	3	4	3	15	2	12	1	16	5	21	5	5	7	11	2	1	1	6	24	2	1	10	4		7	3		14	5	2	3	10	10	12	4	8	3	5	5	13	4	5	8	4	13	4	19			2	3	6	3		16	11	6	14	
7	NC_000007.14	CHN2	1124	CCDS78218.1	Public	+	29480110	29512734	[29480110-29480355, 29495951-29496035, 29499866-29500039, 29509300-29509405, 29512563-29512734]	Identical	CCDS78218.1_CHR7	783	0	0	780-	264	8		9	3	5	1	6	4	1	12	2	5	4	4	1	6	3	4	4	9	8	2		1	14	2	4	4	1	1	3		5	8		2	15	9	7	8	5		4	4	2	5	1	2	3	5	5	1	8	2		3	3	2		3	4	3	1	10	
9	NC_000009.12	NOTCH1	4851	CCDS43905.1	Public	-	136496070	136545785	[136496070-136497557, 136498898-136498995, 136499111-136499258, 136500551-136500846, 136501747-136501912, 136502000-136502087, 136502271-136502487, 136503181-136503329, 136504672-136505103, 136505309-136505880, 136506526-136506638, 136506715-136506972, 136507304-136507436, 136507954-136508138, 136508231-136508384, 136508869-136509070, 136509732-136509960, 136510652-136510804, 136511151-136511270, 136513020-136513133, 136513391-136513536, 136514509-136514701, 136515289-136515399, 136515482-136515715, 136515980-136516093, 136517271-136517384, 136517751-136517936, 136518136-136518291, 136518590-136518823, 136519442-136519564, 136522849-136523187, 136523716-136523978, 136544023-136544101, 136545725-136545785]	Identical	CCDS43905.1_CHR9	7668	0	0	7665-	2559	52	9	25	194	58	50	126	19	26	55		29	20	163	10	50	11	6	77	29	8	6		34	139	2	8	34	3	1	10	44	8	114	20	10	7	79	58	37	20	28	59	6	6	113	23	10	22	7	113	1	133	1		2	18	16	11	3	129	59	79	66	
15	NC_000015.10	BBS4	585	CCDS58377.1	Public	+	72724584	72737586	[72724584-72724654, 72727939-72727993, 72729615-72729683, 72731304-72731456, 72731554-72731725, 72735112-72735181, 72735824-72735965, 72736761-72736962, 72737477-72737586]	Identical	CCDS58377.1_CHR15	1044	0	0	1041-	351	3		8	1	4		9	5	1	18	2		3	7	7	4	4	4	8	11	10	1		1	16	3	3	5	8	1	11		5	11		5	11	7	5	10	7	3	1	7	5	4	8	8	5	1	15	2	6	4		6	14	3	4	1	13	10	5	4	
20	NC_000020.11	CST4	1472	CCDS13159.1	Public	-	23685893	23688968	[23685893-23685976, 23687087-23687200, 23688741-23688968]	Identical	CCDS13159.1_CHR20	426	0	0	423-	145	4	1	4	1	3	2	2		1	4	2	1	2	2		4			7	3	1	1			9	2	1		2		3	1	1	8	1	1	5	4	5	2	1		4	1	1	2	2		3	3	7	1	4		1	1	1	1		2	9	5	2	1	
